Title,Company,Location,Date,Apply Here
Model Based SW Development Engineer,Capgemini Engineering,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/model-based-sw-development-engineer-at-capgemini-engineering-2815816776?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=rL1CMpkPV4402X2WMgB%2FcA%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
Technical Support Specialist,The Hive,"Tunis City, Tunis, Tunisia",2021-11-15,https://tn.linkedin.com/jobs/view/technical-support-specialist-at-the-hive-2796214901?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=6XnwWGkXC9OHJNieP2GaKQ%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Quality Assurance,Iress,"Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/quality-assurance-at-iress-2814889066?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=mYznyVwZn81E2oaBplSz0A%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Software Developer C,Linedata,"Tunis, Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/senior-software-developer-c-at-linedata-2818838513?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=aCfYtJPuQ1Z3WRnynWo%2FSA%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Java Developer,FIS,"Aryanah, Tunis, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/senior-java-developer-at-fis-2788088805?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=seEK8%2Fc1bbU1iT%2BfUF7qZg%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior C++ Software Engineer,FIS,"Aryanah, Tunis, Tunisia",2021-11-27,https://tn.linkedin.com/jobs/view/senior-c%2B%2B-software-engineer-at-fis-2783806297?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=JZBKBu8czi2LtDaXd3bwKQ%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
Ingénieur Avant-Vente,Vneuron,Grand Tunis Metropolitan Area,2021-11-25,https://tn.linkedin.com/jobs/view/ing%C3%A9nieur-avant-vente-at-vneuron-2808173697?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=8A6EVAVF8%2FtoxEX5%2BfzE2w%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
Application Developer (italian speaker),ADP,"Bab el Bahr, Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/application-developer-italian-speaker-at-adp-2766649335?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=nY6bvXjZSZRDzTMVc4t%2FzQ%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Java Developer,Scheidt & Bachmann Maghreb,"Miqreen, Ben Arous Governorate, Tunisia",2021-10-14,https://tn.linkedin.com/jobs/view/senior-java-developer-at-scheidt-bachmann-maghreb-2752761728?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=Wo76Ivp8r06nvzgD95yU7A%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
Assistant To Team,World Health Organization,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/assistant-to-team-at-world-health-organization-2820899625?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=%2BThr0Ihfqzad0YWGXtOSNQ%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
Embedded Linux Engineer,Canonical,"Tunis, Tunis, Tunisia",2021-10-19,https://tn.linkedin.com/jobs/view/embedded-linux-engineer-at-canonical-2798280183?refId=eTGO2cYS9dbCNoHc1WhG6g%3D%3D&trackingId=SH7B4TT2Fa7bgwVwXVF%2BZA%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior - Software Development .Net,Linedata,"Tunis, Tunis, Tunisia",2021-10-19,https://tn.linkedin.com/jobs/view/senior-software-development-net-at-linedata-2798227898?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=bDobnkyVT%2B3dHLouDSUIQg%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
Backend Mobile Developer | Intern |PFE|,bniinn | بنين,"Ariana Governorate, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/backend-mobile-developer-intern-pfe-at-bniinn-%D8%A8%D9%86%D9%8A%D9%86-2828654680?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=n%2FsLZE1WYFpVShYCKXKqtA%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
IT Business Analyst,CXG,"Tunis, Tunisia",2021-10-29,https://tn.linkedin.com/jobs/view/it-business-analyst-at-cxg-2810807697?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=78cZ1CoZgxBotajlFQ%2F0MA%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
Specialist - Software Development .NET,Linedata,"Tunis, Tunis, Tunisia",2021-11-23,https://tn.linkedin.com/jobs/view/specialist-software-development-net-at-linedata-2805247019?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=ziiurRblHwyaSlP7UM0TjQ%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
Model Based SW Development Engineer,Capgemini Engineering,"Tunis, Tunisia",2021-11-11,https://tn.linkedin.com/jobs/view/model-based-sw-development-engineer-at-capgemini-engineering-2790074477?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=mJ6T7YdiMmt8anEaRiW7qw%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
Senior Full Stack Developer,Novelus,"Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/senior-full-stack-developer-at-novelus-2818200286?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=%2B9JxpZ1p%2F%2FbxnQvv5B96kg%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
Senior Full Stack Java Developer,Vneuron,Grand Tunis Metropolitan Area,2021-11-23,https://tn.linkedin.com/jobs/view/senior-full-stack-java-developer-at-vneuron-2704218299?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=3vUQvjklgRghLrwdf5DBZQ%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card
"Software Developer, Trilogy (Remote) - $100,000/year USD",Crossover for Work,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/software-developer-trilogy-remote-%24100-000-year-usd-at-crossover-for-work-2814451276?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=rbRJrmvmNO6PBnX9g%2B0i3A%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
Senior Help Desk,Pixartprinting - a Cimpress Company,"Tunis, Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/senior-help-desk-at-pixartprinting-a-cimpress-company-2819756068?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=Kjgmxb%2FvwBK6sBJafQYsDg%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
Big Data Engineer (m/f/d),MaibornWolff GmbH,"Tunis City, Tunis, Tunisia",2021-11-12,https://tn.linkedin.com/jobs/view/big-data-engineer-m-f-d-at-maibornwolff-gmbh-2796188003?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=WNIdT%2FxbWUYP53bNkppAFg%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card
Working Student (m/f/d) Software Development,MaibornWolff GmbH,"Tunis, Tunis, Tunisia",2021-11-26,https://tn.linkedin.com/jobs/view/working-student-m-f-d-software-development-at-maibornwolff-gmbh-2815025304?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=NRUgvb4zv%2B%2Fe8GGO8Rs73Q%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card
Junior / Senior QA Tester,Planisware,"Tunis, Tunisia",2021-11-09,https://tn.linkedin.com/jobs/view/junior-senior-qa-tester-at-planisware-2786112291?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=MbqwDTju44ZcUtMjczNcEg%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card
Chief of Staff,Think-it,"Tunis, Tunisia",2021-10-28,https://tn.linkedin.com/jobs/view/chief-of-staff-at-think-it-2809685166?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=zF4ph9Rf9%2BW6YcH7pu7dbw%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card
Senior Software Engineer (DevOps & Cloud),Think-it,"Tunis, Tunisia",2021-11-16,https://tn.linkedin.com/jobs/view/senior-software-engineer-devops-cloud-at-think-it-2801423096?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=gyn9TzUr4Khua%2F%2BtGKSIXA%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card
Mobile Software Engineer (Android),Think-it,"Tunis, Tunisia",2021-11-06,https://tn.linkedin.com/jobs/view/mobile-software-engineer-android-at-think-it-2822258971?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=pPvKTPwqqAIiksXTim506w%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card
Technical Support Specialist (Italiano),The Hive,"Tunis, Tunisia",2021-11-16,https://tn.linkedin.com/jobs/view/technical-support-specialist-italiano-at-the-hive-2797155573?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=PWXWCSm86r6eMn0VmRQxZw%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card
Lead Quality Assurance Engineer,machinestalk Tunisia,"Tunis, Tunisia",2021-11-19,https://tn.linkedin.com/jobs/view/lead-quality-assurance-engineer-at-machinestalk-tunisia-2801351230?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=XDgRAQnk%2F3CFDuqfVHkN%2Bg%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card
AWS re/Start Instructor,ReBootKamp (RBK) Tunisia,"Tunis, Tunis, Tunisia",2021-11-19,https://tn.linkedin.com/jobs/view/aws-re-start-instructor-at-rebootkamp-rbk-tunisia-2800156208?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=KwsNhRNA78a14zsoyWMAPA%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card
Connectivity Components - Requirements owner and Development Release Engineer,Capgemini Engineering,"Tunis, Tunisia",2021-11-11,https://tn.linkedin.com/jobs/view/connectivity-components-requirements-owner-and-development-release-engineer-at-capgemini-engineering-2790067918?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=Yjh4tNQkIixE31zPNrokXA%3D%3D&position=19&pageNum=3&trk=public_jobs_jserp-result_search-card
Aruba Technical Support Engineer,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-11-24,https://tn.linkedin.com/jobs/view/aruba-technical-support-engineer-at-hewlett-packard-enterprise-2807526037?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=tRbT9Ym4uqMjFqNBbXyzgw%3D%3D&position=20&pageNum=3&trk=public_jobs_jserp-result_search-card
Développeur Intégrateur Odoo,IDVEY,"Ariana Governorate, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/d%C3%A9veloppeur-int%C3%A9grateur-odoo-at-idvey-2818038613?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=hGNF9SuaHCk%2FzUtmgqbQYg%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card
Site Reliability Engineer,Infor,"Tunis, Tunisia",2021-11-08,https://tn.linkedin.com/jobs/view/site-reliability-engineer-at-infor-2787049413?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=aAHQ9mClYSauSTM04mDCtg%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card
Connectivity Components Telematic ECU Design Release Engineer,Capgemini Engineering,"Tunis, Tunisia",2021-11-11,https://tn.linkedin.com/jobs/view/connectivity-components-telematic-ecu-design-release-engineer-at-capgemini-engineering-2790073450?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=p7889Lu922BQ5STR9vyZWA%3D%3D&position=23&pageNum=3&trk=public_jobs_jserp-result_search-card
Développeur Python Senior,Nuage Technologies Tunisia (NUATN),"al-Manzah, Tunis, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/d%C3%A9veloppeur-python-senior-at-nuage-technologies-tunisia-nuatn-2815431093?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=cql5V1Vuux5hHagOCxk8XQ%3D%3D&position=24&pageNum=3&trk=public_jobs_jserp-result_search-card
Senior C# Developer,Linedata,"Tunis, Tunis, Tunisia",2021-10-19,https://tn.linkedin.com/jobs/view/senior-c%23-developer-at-linedata-2798227900?refId=CqphhAoPzvbdz57N%2BgAXsA%3D%3D&trackingId=XIx5MUPrXNxYB%2BFspaSW6w%3D%3D&position=25&pageNum=3&trk=public_jobs_jserp-result_search-card
Aruba Technical Support Engineer,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-11-10,https://tn.linkedin.com/jobs/view/aruba-technical-support-engineer-at-hewlett-packard-enterprise-2791535954?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=PRdJrSfm4oz7ayH6emfacg%3D%3D&position=1&pageNum=4&trk=public_jobs_jserp-result_search-card
Aruba Technical Support Engineer,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-11-15,https://tn.linkedin.com/jobs/view/aruba-technical-support-engineer-at-hewlett-packard-enterprise-2796969454?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=wmHGjT0M7L1XSJYbdNrMAQ%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card
Aruba Technical Support Engineer,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-11-16,https://tn.linkedin.com/jobs/view/aruba-technical-support-engineer-at-hewlett-packard-enterprise-2798138433?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=OcKkMgVgk9vru7jeQM5DEQ%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card
Aruba Technical Support Engineer,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-11-15,https://tn.linkedin.com/jobs/view/aruba-technical-support-engineer-at-hewlett-packard-enterprise-2796967736?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=hVVoRjGPtMANtYtMriKyLw%3D%3D&position=4&pageNum=4&trk=public_jobs_jserp-result_search-card
Aruba Technical Support Engineer,Hewlett Packard Enterprise,"La Petite Ariana, Ariana Governorate, Tunisia",2021-11-15,https://tn.linkedin.com/jobs/view/aruba-technical-support-engineer-at-hewlett-packard-enterprise-2796967737?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=0SPqMcjYBCuLr8cxh1Dfaw%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card
DevOps Engineer,Vista,"Tunis, Tunis, Tunisia",2021-10-11,https://tn.linkedin.com/jobs/view/devops-engineer-at-vista-2787112332?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=duPHJJ5Q%2BoKU4MCrVcSbXg%3D%3D&position=6&pageNum=4&trk=public_jobs_jserp-result_search-card
Mobile Software Engineer (iOS),Think-it,"Tunis, Tunisia",2021-11-16,https://tn.linkedin.com/jobs/view/mobile-software-engineer-ios-at-think-it-2801422123?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=g81lQ6GMTzm%2FnzGBbaVjuA%3D%3D&position=7&pageNum=4&trk=public_jobs_jserp-result_search-card
Big Data Support Specialist,Hewlett Packard Enterprise,"Ariana Governorate, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/big-data-support-specialist-at-hewlett-packard-enterprise-2816994722?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=mLc4CkcxFX3bsqkOQdgxWA%3D%3D&position=8&pageNum=4&trk=public_jobs_jserp-result_search-card
Business Intelligence Engineer (M/F),SESAMm,"Tunis, Tunis, Tunisia",2021-11-23,https://tn.linkedin.com/jobs/view/business-intelligence-engineer-m-f-at-sesamm-2810834949?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=QvXQd%2Fi%2FeTssO%2FV%2FUi9Gcw%3D%3D&position=9&pageNum=4&trk=public_jobs_jserp-result_search-card
IT Service Delivery Specialist,Emerson,"Tunis, Tunis, Tunisia",2021-11-21,https://tn.linkedin.com/jobs/view/it-service-delivery-specialist-at-emerson-2802720177?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=X0A2d07IdSW50p9ybG0d4Q%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card
Junior M&A Analyst (H/F),SESAMm,"Tunis, Tunis, Tunisia",2021-10-20,https://tn.linkedin.com/jobs/view/junior-m-a-analyst-h-f-at-sesamm-2798600568?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=mQNMSwcF3n1cw7wVlWgWqw%3D%3D&position=11&pageNum=4&trk=public_jobs_jserp-result_search-card
Product Owner,Vista,"Tunis, Tunis, Tunisia",2021-10-08,https://tn.linkedin.com/jobs/view/product-owner-at-vista-2783480834?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=XxGIvQyqSCXA05HrgeNq7A%3D%3D&position=12&pageNum=4&trk=public_jobs_jserp-result_search-card
Scrum Master (m/f/d),MaibornWolff GmbH,"Tunis, Tunis, Tunisia",2021-11-26,https://tn.linkedin.com/jobs/view/scrum-master-m-f-d-at-maibornwolff-gmbh-2814645450?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=OYLLjk9urDYPAqCsyu44lw%3D%3D&position=13&pageNum=4&trk=public_jobs_jserp-result_search-card
Senior Developer Fullstack/Java - Tunis,NeoXam Tunisie,"Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/senior-developer-fullstack-java-tunis-at-neoxam-tunisie-2771754474?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=t0F2zi4qSsmrX0h%2F%2F6dobQ%3D%3D&position=14&pageNum=4&trk=public_jobs_jserp-result_search-card
"Ingénieur Java Confirmé, Support & Maintenance Applicative - Tunis",NeoXam Tunisie,"Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/ing%C3%A9nieur-java-confirm%C3%A9-support-maintenance-applicative-tunis-at-neoxam-tunisie-2818380652?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=oFh7aqKsIQZlDLMSHjFwpg%3D%3D&position=15&pageNum=4&trk=public_jobs_jserp-result_search-card
Senior QA automation engineer,ADP,"Bab el Bahr, Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/senior-qa-automation-engineer-at-adp-2790630318?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=ZbumDxYGNKojLeiUcu6ODA%3D%3D&position=16&pageNum=4&trk=public_jobs_jserp-result_search-card
"Senior Software Developer, Trilogy (Remote) - $100,000/year USD",Crossover for Work,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/senior-software-developer-trilogy-remote-%24100-000-year-usd-at-crossover-for-work-2814455289?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=1UaWqdQqhVX3vR%2F7pu0%2BzA%3D%3D&position=17&pageNum=4&trk=public_jobs_jserp-result_search-card
product support representative senior,FIS,"Aryanah, Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/product-support-representative-senior-at-fis-2789815379?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=yMXtzCaw%2B8WhzE5WEsKbhA%3D%3D&position=18&pageNum=4&trk=public_jobs_jserp-result_search-card
Senior Site Reliability Engineer,Infor,"Tunis, Tunisia",2021-11-18,https://tn.linkedin.com/jobs/view/senior-site-reliability-engineer-at-infor-2800364051?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=%2FWm032K1Gstl%2BaAZsKe%2B0w%3D%3D&position=19&pageNum=4&trk=public_jobs_jserp-result_search-card
Content Agent - Jumia (Full Time),Jumia Group,"Tunis, Tunisia",2021-11-11,https://tn.linkedin.com/jobs/view/content-agent-jumia-full-time-at-jumia-group-2828901030?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=Jx4wFzt9RltMsy3vRQgTSA%3D%3D&position=20&pageNum=4&trk=public_jobs_jserp-result_search-card
Tech Lead (.Net | React.js |Nodejs),CXG,"Tunis, Tunisia",2021-12-03,https://tn.linkedin.com/jobs/view/tech-lead-net-react-js-nodejs-at-cxg-2825533781?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=IBLYQ0%2FiPT6qj%2BRhWOeZGw%3D%3D&position=21&pageNum=4&trk=public_jobs_jserp-result_search-card
"C# Developer, Trilogy (Remote) - $100,000/year USD",Crossover for Work,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/c%23-developer-trilogy-remote-%24100-000-year-usd-at-crossover-for-work-2814456285?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=pi3RB49G0HEodD4nm%2B2Y5g%3D%3D&position=22&pageNum=4&trk=public_jobs_jserp-result_search-card
Technicien Support (COOPTATION),Concentrix,"Bab el Bahr, Tunis, Tunisia",2021-11-25,https://tn.linkedin.com/jobs/view/technicien-support-cooptation-at-concentrix-2813480892?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=RDwhd1CO6CLD4elyfhqZ%2Bg%3D%3D&position=23&pageNum=4&trk=public_jobs_jserp-result_search-card
Big Data Architect (m/f/d),MaibornWolff GmbH,"Tunis City, Tunis, Tunisia",2021-11-12,https://tn.linkedin.com/jobs/view/big-data-architect-m-f-d-at-maibornwolff-gmbh-2796184646?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=%2BLFPeFtebvPv1Tdb81Ud3A%3D%3D&position=24&pageNum=4&trk=public_jobs_jserp-result_search-card
Ingénieur assurance qualité (QA),ARTEMIS SOURCING,"Tunis, Tunis, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/ing%C3%A9nieur-assurance-qualit%C3%A9-qa-at-artemis-sourcing-2817710717?refId=nBjQCeCtj7ncTQ%2FDji37RA%3D%3D&trackingId=W9QcdYyGbiTewsRRpQ4PXQ%3D%3D&position=25&pageNum=4&trk=public_jobs_jserp-result_search-card
